"cdr_ID","calldate","sipcallerip_country_code","sipcalledip_country_code","caller_number_country_code","called_number_country_code"
76100359,"2018-05-01 00:00:01","CA","CA","CA","CA"
76100357,"2018-05-01 00:00:03","CA","CA","CA","CA"
76100360,"2018-05-01 00:00:03","CA","CA","CA","CA"
76100355,"2018-05-01 00:00:08","CA","CA","CA","CA"
76100543,"2018-05-01 00:00:10","CA","CA","CA","CA"
76100542,"2018-05-01 00:00:11","CA","CA","CA","CA"
76100547,"2018-05-01 00:00:19","CA","CA","CA","CA"
76100548,"2018-05-01 00:00:19","CA","CA","CA","CA"
76100418,"2018-05-01 00:00:23","US","CA","US","US"
76100443,"2018-05-01 00:00:23","US","CA","US","US"
76100465,"2018-05-01 00:00:23","US","CA","US","US"
76100466,"2018-05-01 00:00:23","US","CA","US","US"
76100378,"2018-05-01 00:00:25","CA","US","US","CA"
76100384,"2018-05-01 00:00:25","CA","CA","CA","CA"
76100397,"2018-05-01 00:00:25","CA","US","US","CA"
76100405,"2018-05-01 00:00:25","CA","US","US","CA"
76100402,"2018-05-01 00:00:27","CA","US","US","US"
76100410,"2018-05-01 00:00:27","CA","US","US","US"
76100504,"2018-05-01 00:00:27","CA","CA","CA","CA"
76100367,"2018-05-01 00:00:30","US","CA","US","US"
76100370,"2018-05-01 00:00:30","US","CA","US","US"
76100435,"2018-05-01 00:00:30","CA","CA","CA","CA"
76100434,"2018-05-01 00:00:31","CA","CA","CA","CA"
76100457,"2018-05-01 00:00:32","CA","CA","CA","CA"
76100472,"2018-05-01 00:00:32","CA","CA","CA","CA"
76100365,"2018-05-01 00:00:33","US","CA","US","US"
76100368,"2018-05-01 00:00:33","US","CA","US","US"
76100385,"2018-05-01 00:00:33","CA","CA","CA","CA"
76100436,"2018-05-01 00:00:33","CA","CA","CA","CA"
76100449,"2018-05-01 00:00:33","CA","CA","CA","CA"
76100452,"2018-05-01 00:00:33","CA","CA","CA","CA"
76100450,"2018-05-01 00:00:36","CA","CA","CA","CA"
76100453,"2018-05-01 00:00:36","CA","CA","CA","CA"
76100371,"2018-05-01 00:00:38","US","CA","US","US"
76100386,"2018-05-01 00:00:38","US","CA","US","US"
76100379,"2018-05-01 00:00:39","CA","CA","CA","CA"
76100381,"2018-05-01 00:00:39","CA","CA","CA","CA"
76100426,"2018-05-01 00:00:39","CA","CA","CA","CA"
76100427,"2018-05-01 00:00:39","CA","CA","CA","CA"
76100430,"2018-05-01 00:00:39","CA","CA","CA","CA"
76100420,"2018-05-01 00:00:40","CA","CA","CA","CA"
