"cdr_ID","calldate","custom_header1","fbasename","match_header","GeoPosition","spool_index"
76100355,"2018-05-01 00:00:08",NULL,"9e569f08-4cd2-11e8-b86c-e347ddf0485a",NULL,NULL,NULL
76100357,"2018-05-01 00:00:03",NULL,"9e56d2ac-4cd2-11e8-b872-e347ddf0485a",NULL,NULL,NULL
76100359,"2018-05-01 00:00:01",NULL,"1254069873-3734121610-654518189@IRISMSC7.iristel.net",NULL,NULL,NULL
76100360,"2018-05-01 00:00:03",NULL,"9e56519c-4cd2-11e8-b860-e347ddf0485a",NULL,NULL,NULL
76100365,"2018-05-01 00:00:33",NULL,"1-582af2740a010100.7044e612@68.68.119.98",NULL,NULL,NULL
76100367,"2018-05-01 00:00:30",NULL,"1-5fdf342b0a030100.26193a04@68.68.117.61",NULL,NULL,NULL
76100368,"2018-05-01 00:00:33",NULL,"1-582af2740a010100.7044e612@68.68.119.98",NULL,NULL,NULL
76100370,"2018-05-01 00:00:30",NULL,"1-5fdf342b0a030100.26193a04@68.68.117.61",NULL,NULL,NULL
76100371,"2018-05-01 00:00:38",NULL,"1-582af3610a010100.683e0425@68.68.119.98",NULL,NULL,NULL
76100372,"2018-05-01 00:00:41",NULL,"1-5fdf38580a030100.7e7eed24@68.68.117.61",NULL,NULL,NULL
76100374,"2018-05-01 00:00:48",NULL,"b0874934-4cd2-11e8-b8f9-e347ddf0485a",NULL,NULL,NULL
76100375,"2018-05-01 00:00:46",NULL,"1-582af4c80a010100.2a4bcd44@68.68.119.98",NULL,NULL,NULL
76100378,"2018-05-01 00:00:25",NULL,"a65a85f2-4cd2-11e8-9d54-5dca86831630",NULL,NULL,NULL
76100379,"2018-05-01 00:00:39",NULL,"b0874934-4cd2-11e8-b8f9-e347ddf0485a",NULL,NULL,NULL
76100381,"2018-05-01 00:00:39",NULL,"b0876676-4cd2-11e8-b8ff-e347ddf0485a",NULL,NULL,NULL
76100384,"2018-05-01 00:00:25",NULL,"1254072806-3734121634-701661192@IRISMSC7.iristel.net",NULL,NULL,NULL
76100385,"2018-05-01 00:00:33",NULL,"21de92a6-b7b6083b-6833460c@192.168.171.60",NULL,NULL,NULL
76100386,"2018-05-01 00:00:38",NULL,"1-582af3610a010100.683e0425@68.68.119.98",NULL,NULL,NULL
76100387,"2018-05-01 00:00:41",NULL,"1-5fdf38580a030100.7e7eed24@68.68.117.61",NULL,NULL,NULL
76100389,"2018-05-01 00:00:48",NULL,"b0876676-4cd2-11e8-b8ff-e347ddf0485a",NULL,NULL,NULL
76100390,"2018-05-01 00:00:46",NULL,"1-582af4c80a010100.2a4bcd44@68.68.119.98",NULL,NULL,NULL
76100391,"2018-05-01 00:00:48",NULL,"b0874934-4cd2-11e8-b8f9-e347ddf0485a",NULL,NULL,NULL
76100392,"2018-05-01 00:00:42",NULL,"1-5fdf38690a020100.41673c44@68.68.117.61",NULL,NULL,NULL
76100394,"2018-05-01 00:00:42",NULL,"1-5fdf38690a020100.41673c44@68.68.117.61",NULL,NULL,NULL
76100395,"2018-05-01 00:00:48",NULL,"b0876676-4cd2-11e8-b8ff-e347ddf0485a",NULL,NULL,NULL
76100396,"2018-05-01 00:00:56",NULL,"0_2568808520@192.168.1.215",NULL,NULL,NULL
76100397,"2018-05-01 00:00:25",NULL,"a65a85f2-4cd2-11e8-9d54-5dca86831630",NULL,NULL,NULL
76100398,"2018-05-01 00:00:48",NULL,"b086e908-4cd2-11e8-b8e7-e347ddf0485a",NULL,NULL,NULL
76100399,"2018-05-01 00:00:48",NULL,"b0872a08-4cd2-11e8-b8f3-e347ddf0485a",NULL,NULL,NULL
76100400,"2018-05-01 00:00:50",NULL,"1-582af55d0a010100.5ceffd4f@68.68.119.98",NULL,NULL,NULL
76100401,"2018-05-01 00:00:48",NULL,"b087069a-4cd2-11e8-b8ed-e347ddf0485a",NULL,NULL,NULL
76100402,"2018-05-01 00:00:27",NULL,"a7c16546-4cd2-11e8-9d7c-5dca86831630",NULL,NULL,NULL
76100403,"2018-05-01 00:00:59",NULL,"ba776230-4cd2-11e8-b91d-e347ddf0485a",NULL,NULL,NULL
76100404,"2018-05-01 00:00:56",NULL,"0_2568808520@192.168.1.215",NULL,NULL,NULL
76100405,"2018-05-01 00:00:25",NULL,"a65a85f2-4cd2-11e8-9d54-5dca86831630",NULL,NULL,NULL
76100406,"2018-05-01 00:00:48",NULL,"b086e908-4cd2-11e8-b8e7-e347ddf0485a",NULL,NULL,NULL
76100407,"2018-05-01 00:00:48",NULL,"b0872a08-4cd2-11e8-b8f3-e347ddf0485a",NULL,NULL,NULL
76100408,"2018-05-01 00:00:50",NULL,"1-582af55d0a010100.5ceffd4f@68.68.119.98",NULL,NULL,NULL
76100409,"2018-05-01 00:00:48",NULL,"b087069a-4cd2-11e8-b8ed-e347ddf0485a",NULL,NULL,NULL
76100410,"2018-05-01 00:00:27",NULL,"a7c16546-4cd2-11e8-9d7c-5dca86831630",NULL,NULL,NULL
76100411,"2018-05-01 00:00:59",NULL,"ba776230-4cd2-11e8-b91d-e347ddf0485a",NULL,NULL,NULL
76100417,"2018-05-01 00:00:47",NULL,"b3d618a4-4cd2-11e8-ac7e-2f851045dcd1",NULL,NULL,NULL
76100418,"2018-05-01 00:00:23",NULL,"1-5fdf32320a020100.d5f7a6e@68.68.117.61",NULL,NULL,NULL
76100420,"2018-05-01 00:00:40",NULL,"af484f64-4cd2-11e8-b8bc-e347ddf0485a",NULL,NULL,NULL
76100422,"2018-05-01 00:01:00",NULL,"bb98bcb8-4cd2-11e8-b939-e347ddf0485a",NULL,NULL,NULL
76100426,"2018-05-01 00:00:39",NULL,"b086e908-4cd2-11e8-b8e7-e347ddf0485a",NULL,NULL,NULL
76100427,"2018-05-01 00:00:39",NULL,"b0872a08-4cd2-11e8-b8f3-e347ddf0485a",NULL,NULL,NULL
76100428,"2018-05-01 00:00:52",NULL,"bb98bcb8-4cd2-11e8-b939-e347ddf0485a",NULL,NULL,NULL
76100430,"2018-05-01 00:00:39",NULL,"b087069a-4cd2-11e8-b8ed-e347ddf0485a",NULL,NULL,NULL
76100431,"2018-05-01 00:00:50",NULL,"ba776230-4cd2-11e8-b91d-e347ddf0485a",NULL,NULL,NULL
76100433,"2018-05-01 00:00:48",NULL,"0_2568808520@192.168.1.215",NULL,NULL,NULL
76100434,"2018-05-01 00:00:31",NULL,"af484f64-4cd2-11e8-b8bc-e347ddf0485a",NULL,NULL,NULL
76100435,"2018-05-01 00:00:30",NULL,"3568a72a447dfcb4",NULL,NULL,NULL
76100436,"2018-05-01 00:00:33",NULL,"b086cc16-4cd2-11e8-b8e1-e347ddf0485a",NULL,NULL,NULL
76100442,"2018-05-01 00:00:47",NULL,"b3d618a4-4cd2-11e8-ac7e-2f851045dcd1",NULL,NULL,NULL
76100443,"2018-05-01 00:00:23",NULL,"1-5fdf32320a020100.d5f7a6e@68.68.117.61",NULL,NULL,NULL
76100445,"2018-05-01 00:00:40",NULL,"af484f64-4cd2-11e8-b8bc-e347ddf0485a",NULL,NULL,NULL
