"id","type","reason"
72,1,"0 (text missing)"
26,1,"1 (text missing)"
36,1,"102 (text missing)"
111,1,"111 (text missing)"
152,1,"112 (text missing)"
149,1,"117 (text missing)"
32,1,"127 (text missing)"
24,1,"16 (text missing)"
28,1,"17 (text missing)"
73,1,"18 (text missing)"
39,1,"19 (text missing)"
95,1,"20 (text missing)"
97,1,"200 (text missing)"
91,1,"21 (text missing)"
105,1,"23 (text missing)"
54,1,"26 (text missing)"
68,1,"27 (text missing)"
103,1,"28 (text missing)"
141,1,"3 (text missing)"
30,1,"31 (text missing)"
35,1,"34 (text missing)"
55,1,"38 (text missing)"
58,1,"4 (text missing)"
76,1,"407 (text missing)"
49,1,"408 (text missing)"
48,1,"41 (text missing)"
70,1,"42 (text missing)"
75,1,"47 (text missing)"
38,1,"486 (text missing)"
136,1,"488 (text missing)"
46,1,"63 (text missing)"
116,1,"65 (text missing)"
93,1,"79 (text missing)"
100,1,"88 (text missing)"
99,1,"?"
15,1,"ACK Timeout"
80,1,"Address Incomplete\";icodetext=\"InvalidNumberFormat\";iintcode=12030;isubsystem=9"
92,1,"Address Incomplete\";icodetext=\"InvalidNumberFormat\";iintcode=14025;isubsystem=18"
41,1,"ALLOTTED_TIMEOUT"
5,1,"ATTENDED_TRANSFER"
94,1,"Bad Gateway\";icodetext=\"DestinationOutOfOrder\";iintcode=200;isubsystem=15"
147,1,"BLIND_TRANSFER"
146,1,"Busy Here"
79,1,"Busy Here\";icodetext=\"UserBusy"
29,1,"Busy Here\";icodetext=\"UserBusy\";iintcode=12013;isubsystem=9"
7,1,"Call completed elsewhere"
139,1,"Call rejected"
59,1,"Call Terminated"
42,1,"CALL_REJECTED"
106,1,"Destination out of order"
37,1,"DESTINATION_OUT_OF_ORDER"
101,1,"ENS Internal-Bear capability unimplemented"
84,1,"ENS Internal-Unallocated number"
130,1,"ENS Internal-Undefine"
145,1,"ENS Internal-User busy"
50,1,"EXCHANGE_ROUTING_ERROR"
57,1,"INCOMPATIBLE_DESTINATION"
122,1,"Incomplete offer/answer"
144,1,"Internal error"
88,1,"INTERWORKING"
113,1,"interworking unspecified"
67,1,"Interworking, unspecified"
138,1,"Invalid number format (address incomplete)"
61,1,"INVALID_NUMBER_FORMAT"
82,1,"local"
40,1,"LOSE_RACE"
121,1,"Malformed Session Description"
66,1,"MANDATORY_IE_MISSING"
43,1,"MEDIA_TIMEOUT"
108,1,"Message not compatible with call state or message type non-existent or not implemented"
98,1,"N/A"
126,1,"NETWORK_OUT_OF_ORDER"
142,1,"No answer from user"
115,1,"No answer from user (user alerted)"
118,1,"No answer to offer"
86,1,"No circuit available"
85,1,"No circuit/channel available"
90,1,"No Ring Timeout"
137,1,"No route to destination"
140,1,"No user responding"
112,1,"NONE"
74,1,"Normal - unspecified"
33,1,"Normal call clearing"
53,1,"Normal clearing"
96,1,"Normal, unspecified"
114,1,"NORMAL_CALL_CLEARING"
127,1,"NORMAL_CIRCUIT_CONGESTION"
21,1,"NORMAL_CLEARING"
31,1,"NORMAL_TEMPORARY_FAILURE"
34,1,"NORMAL_UNSPECIFIED"
83,1,"Not Found"
117,1,"Not Found\";icodetext=\"NoRouteToDestination\";iintcode=12030;isubsystem=9"
87,1,"Not Found\";icodetext=\"Unallocated\";iintcode=12013;isubsystem=9"
22,1,"NO_ANSWER"
25,1,"NO_ROUTE_DESTINATION"
62,1,"NO_USER_RESPONSE"
4,1,"ORIGINATOR_CANCEL"
44,1,"PICKED_OFF"
9,1,"PROGRESS_TIMEOUT"
131,1,"Recover on timer expiry"
134,1,"Recovery on timer expiry"
47,1,"RECOVERY_ON_TIMER_EXPIRE"
56,1,"Request Terminated"
52,1,"Request terminated by user"
77,1,"Request Timeout\";icodetext=\"NoUserResponding\";iintcode=10053;isubsystem=13"
19,1,"Request Timeout\";icodetext=\"NoUserResponding\";iintcode=200;isubsystem=15"
109,1,"Requested circuit/channel not available"
148,1,"RESOURCE_UNAVAILABLE_UNSPECIFIED"
107,1,"Server Internal Error\";icodetext=\"InterworkingUnspecified\";iintcode=200;isubsystem=15"
125,1,"Server Internal Error\";icodetext=\"ProtocolErrorUnspecified\";iintcode=200;isubsystem=15"
124,1,"Server Time-out\";icodetext=\"RecoveryOnTimerExpiry\";iintcode=200;isubsystem=15"
133,1,"Service or option not available, unspecified"
63,1,"Service Unavailable\";icodetext=\"NoCircuitAvailable\";iintcode=14025;isubsystem=18"
110,1,"Service Unavailable\";icodetext=\"ResourceUnavailableUnspecified"
69,1,"Service Unavailable\";icodetext=\"ResourceUnavailableUnspecified\";iintcode=12002;isubsystem=9"
120,1,"Service Unavailable\";icodetext=\"ResourceUnavailableUnspecified\";iintcode=200;isubsystem=15"
102,1,"Service Unavailable\";icodetext=\"TemporaryFailure\";iintcode=200;isubsystem=15"
104,1,"SERVICE_NOT_IMPLEMENTED"
129,1,"SRTP_READ_ERROR"
132,1,"Subscriber absent"
143,1,"SUBSCRIBER_ABSENT"
51,1,"SUCCESS"
81,1,"Switch equipment congestion"
151,1,"Switching equipment congestion"
89,1,"SWITCH_CONGESTION"
65,1,"SYSTEM_SHUTDOWN"
135,1,"Temporarily Unavailable\";icodetext=\"NoAnswerFromUser\";iintcode=12030;isubsystem=9"
60,1,"Temporarily Unavailable\";icodetext=\"NormalUnspecified"
64,1,"Temporarily Unavailable\";icodetext=\"NormalUnspecified\";iintcode=200;isubsystem=15"
78,1,"Temporary failure"
119,1,"Terminated"
45,1,"Unallocated (unassigned) number"
123,1,"Unallocated Number"
23,1,"UNALLOCATED_NUMBER"
128,1,"UNKNOWN"
71,1,"User busy"
27,1,"USER_BUSY"
150,1,"WRONG_CALL_STATE"
10,2,"1 (text missing)"
8,2,"16 (text missing)"
18,2,"17 (text missing)"
12,2,"31 (text missing)"
14,2,"34 (text missing)"
20,2,"41 (text missing)"
16,2,"Normal call clearing"
2,2,"NORMAL_CLEARING"
13,2,"NORMAL_TEMPORARY_FAILURE"
1,2,"NO_ANSWER"
11,2,"NO_ROUTE_DESTINATION"
17,2,"Unallocated (unassigned) number"
3,2,"UNALLOCATED_NUMBER"
6,2,"USER_BUSY"
