"ID","cdr_ID","calldate","saddr","daddr","dport","ssrc","received","loss","firsttime","payload","maxjitter_mult10","index","flags"
96081257,76100359,"2018-05-01 00:00:01",3227975250,3495527062,35384,1463163690,426,0,1.50015,0,13,1,2
96081258,76100359,"2018-05-01 00:00:01",3495527062,3227975250,24410,2013999881,488,0,1.62266,0,1,2,2
96081259,76100360,"2018-05-01 00:00:03",3227975250,1176778026,2224,864146619,209,0,5.76437,9,3,1,2
96081260,76100360,"2018-05-01 00:00:03",1176778026,3227975250,29904,3588206137,208,0,5.77528,9,20,2,2
96081275,76100372,"2018-05-01 00:00:41",3227975507,1145337152,30480,1029108969,191,0,1.02961,9,2,1,NULL
96081276,76100372,"2018-05-01 00:00:41",1145337152,3227975507,28572,694054677,180,0,1.07166,9,2,2,NULL
96081289,76100384,"2018-05-01 00:00:25",3227975250,3429196867,25020,1463163714,588,0,1.50799,0,2,1,2
96081290,76100384,"2018-05-01 00:00:25",3429196867,3227975250,26744,462032375,585,0,1.56853,0,1,2,2
96081291,76100387,"2018-05-01 00:00:41",3227975507,1145337152,30480,1029108969,191,0,1.02969,9,2,1,NULL
96081292,76100387,"2018-05-01 00:00:41",1145337152,3227975507,28572,694054677,180,0,1.07166,9,3,2,NULL
96081297,76100402,"2018-05-01 00:00:27",1145337701,3227975507,19996,2323713982,2,0,0.102401,0,0,1,NULL
96081298,76100402,"2018-05-01 00:00:27",1145337701,3227975507,19996,2400040097,495,0,0.149409,0,1,2,NULL
96081299,76100410,"2018-05-01 00:00:27",1145337701,3227975507,19996,2400040097,495,0,0.190389,0,3,1,NULL
96081306,76100417,"2018-05-01 00:00:47",1145337708,3227975487,25952,1248321695,5,0,0.100304,0,0,1,NULL
96081307,76100417,"2018-05-01 00:00:47",1145337708,3227975487,25952,1200289033,2,0,0.197795,0,0,2,NULL
96081308,76100417,"2018-05-01 00:00:47",1145337708,3227975487,25952,1226948019,601,0,0.28514,0,3,4,NULL
96081309,76100417,"2018-05-01 00:00:47",3227975487,1145337708,22440,1883767087,579,0,1.73043,0,3,5,NULL
96081310,76100418,"2018-05-01 00:00:23",3227975507,1145337152,28718,1025624455,2221,0,0.952966,9,5,1,NULL
96081311,76100418,"2018-05-01 00:00:23",1145337152,3227975507,23930,221392972,2211,1,0.990618,9,5,2,NULL
96081325,76100433,"2018-05-01 00:00:48",3227975250,3330677851,11884,1463163736,38,0,2.27341,9,1,1,2
96081326,76100433,"2018-05-01 00:00:48",3330677851,3227975250,22724,2774179223,32,0,2.41139,9,0,2,2
96081327,76100434,"2018-05-01 00:00:31",3495526932,3227975250,28466,778506695,1314,0,1.5621,0,10,1,2
96081328,76100434,"2018-05-01 00:00:31",3227975250,3495526932,7230,2972874520,1287,0,1.88628,0,135,2,2
96081329,76100435,"2018-05-01 00:00:30",3227975250,1268497742,10000,1458294614,867,0,3.09718,0,106,1,2
96081330,76100435,"2018-05-01 00:00:30",1268497742,3227975250,29392,1295856205,861,0,3.28679,0,5,2,2
96081331,76100436,"2018-05-01 00:00:33",3227975250,3330677851,11880,1557028458,316,0,7.10447,0,1,1,2
96081332,76100436,"2018-05-01 00:00:33",3330677851,3227975250,31632,1830843655,314,0,7.16007,0,3,2,2
96081339,76100442,"2018-05-01 00:00:47",1145337708,3227975487,25952,1248321695,4,0,0.099139,0,0,1,NULL
96081340,76100442,"2018-05-01 00:00:47",1145337708,3227975487,25952,1200289033,2,0,0.196763,0,0,2,NULL
96081341,76100442,"2018-05-01 00:00:47",1145337708,3227975487,25952,1226948019,601,0,0.283909,0,1,4,NULL
96081342,76100442,"2018-05-01 00:00:47",3227975487,1145337708,22440,1883767087,579,0,1.72916,0,3,5,NULL
96081343,76100443,"2018-05-01 00:00:23",3227975507,1145337152,28718,1025624455,2221,0,0.953216,9,5,1,NULL
96081344,76100443,"2018-05-01 00:00:23",1145337152,3227975507,23930,221392972,2212,0,0.990913,9,1,2,NULL
96081349,76100449,"2018-05-01 00:00:33",3227975506,1279424612,3000,526687249,843,0,3.45639,0,105,1,NULL
96081350,76100449,"2018-05-01 00:00:33",1279424612,3227975506,24614,717100877,833,1,3.67162,0,27,2,NULL
96081351,76100450,"2018-05-01 00:00:36",3495526469,3227975506,25742,1717769662,1268,0,0.334232,0,4,1,NULL
96081352,76100450,"2018-05-01 00:00:36",3227975506,3495526469,57834,1599044372,1251,0,0.60506,0,136,2,NULL
96081353,76100451,"2018-05-01 00:01:10",3227975487,215430723,17700,3409903126,221,0,2.5865,316,6,1,NULL
96081354,76100451,"2018-05-01 00:01:10",215430723,3227975487,27612,1438213529,199,0,2.64372,316,11,2,NULL
96081355,76100452,"2018-05-01 00:00:33",3227975506,1279424612,3000,526687249,843,0,3.4563,0,105,1,NULL
96081356,76100452,"2018-05-01 00:00:33",1279424612,3227975506,24614,717100877,834,0,3.67151,0,27,2,NULL
96081357,76100453,"2018-05-01 00:00:36",3495526469,3227975506,25742,1717769662,1267,0,0.333419,0,1,1,NULL
96081358,76100453,"2018-05-01 00:00:36",3227975506,3495526469,57834,1599044372,1251,0,0.604085,0,136,2,NULL
96081359,76100454,"2018-05-01 00:01:10",3227975487,215430723,17700,3409903126,221,0,2.58659,316,6,1,NULL
96081360,76100454,"2018-05-01 00:01:10",215430723,3227975487,27612,1438213529,197,0,2.64378,316,11,2,NULL
96081365,76100457,"2018-05-01 00:00:32",3227975250,3495526932,16260,1462998408,1981,0,3.79219,0,4,1,2
96081366,76100457,"2018-05-01 00:00:32",3495526932,3227975250,25570,1563569912,1940,0,3.84632,0,4,2,2
96081371,76100461,"2018-05-01 00:01:17",3495526932,3227975250,25876,381436463,398,0,0.952738,0,1,1,2
96081372,76100461,"2018-05-01 00:01:17",3227975250,3495526932,16470,1458486597,390,0,1.04912,0,31,2,2
96081373,76100462,"2018-05-01 00:01:17",3227975250,3091469318,18000,1256929078,398,0,0.122213,0,2,1,2
96081374,76100462,"2018-05-01 00:01:17",3091469318,3227975250,22968,1906158258,396,0,0.160935,0,52,2,2
96081377,76100464,"2018-05-01 00:01:36",3227975251,3640363090,16454,2532465464,51,0,1.70062,0,1,1,2
96081378,76100464,"2018-05-01 00:01:36",3640363090,3227975251,18532,3663679288,50,0,1.7081,0,3,2,2
96081379,76100465,"2018-05-01 00:00:23",1145337152,3227975507,28810,252253289,3454,1,1.65124,9,6,1,NULL
96081380,76100465,"2018-05-01 00:00:23",3227975507,1145337152,30036,1030656919,3443,3,1.82022,9,9,2,NULL
96081381,76100466,"2018-05-01 00:00:23",1145337152,3227975507,28810,252253289,3453,0,1.65123,9,1,1,NULL
96081382,76100466,"2018-05-01 00:00:23",3227975507,1145337152,30036,1030656919,3446,0,1.8201,9,8,2,NULL
96081383,76100471,"2018-05-01 00:01:52",1145337708,3227975486,18020,2661767538,6,0,0.106057,0,0,1,NULL
96081384,76100471,"2018-05-01 00:01:52",1145337708,3227975486,18020,2940228076,5,0,0.234589,0,0,2,NULL
96081385,76100471,"2018-05-01 00:01:52",1145337708,3227975486,18020,2918266800,266,0,0.343095,0,2,3,NULL
96081386,76100471,"2018-05-01 00:01:52",3227975486,1145337708,4554,469040400,241,0,2.21407,0,2,4,NULL
96081387,76100472,"2018-05-01 00:00:32",3227975250,3429196867,25400,1462315384,3396,0,1.90125,0,285,1,2
96081388,76100472,"2018-05-01 00:00:32",3429196867,3227975250,30710,2026075455,3441,0,1.96407,0,2,2,2
96081389,76100473,"2018-05-01 00:00:53",3495527062,3227975250,30004,726485451,2593,0,1.40177,0,32,1,2
96081390,76100473,"2018-05-01 00:00:53",3227975250,3495527062,33834,2502678078,2581,0,1.6138,0,3,2,2
96081391,76100474,"2018-05-01 00:00:52",3227975250,3350650146,2242,1465914796,2586,0,3.24713,335,12,1,2
96081392,76100474,"2018-05-01 00:00:52",3350650146,3227975250,27838,4206737637,2586,0,3.3433,335,11,2,2
96081393,76100475,"2018-05-01 00:01:01",3227975250,875246285,9110,1458294646,1882,0,5.03869,0,22,1,2
96081394,76100475,"2018-05-01 00:01:01",875246285,3227975250,26158,22940,1756,0,7.53123,0,9,2,2
96081395,76100476,"2018-05-01 00:01:04",3495527062,3227975250,17474,889085941,1886,0,2.23442,0,13,1,2
96081396,76100476,"2018-05-01 00:01:04",3227975250,3495527062,35598,988862761,1754,0,4.80116,0,1,2,2
96081399,76100481,"2018-05-01 00:01:52",1145337708,3227975486,18020,2661767538,5,0,0.105142,0,0,1,NULL
96081400,76100481,"2018-05-01 00:01:52",1145337708,3227975486,18020,2940228076,5,0,0.233746,0,0,2,NULL
96081401,76100481,"2018-05-01 00:01:52",1145337708,3227975486,18020,2918266800,265,0,0.342137,0,2,3,NULL
96081402,76100481,"2018-05-01 00:01:52",3227975486,1145337708,4554,469040400,241,0,2.21308,0,2,4,NULL
96081409,76100490,"2018-05-01 00:01:53",3227975250,3494121765,25058,1458294698,440,0,1.90469,0,2,1,2
96081410,76100490,"2018-05-01 00:01:53",3494121765,3227975250,30714,2115321845,433,0,2.01404,0,46,2,2
96081413,76100492,"2018-05-01 00:01:41",1145337708,3227975486,23954,2672451295,5,0,0.09351,0,0,1,NULL
96081414,76100492,"2018-05-01 00:01:41",1145337708,3227975486,23954,2500422908,5,0,0.191131,0,0,2,NULL
96081415,76100492,"2018-05-01 00:01:41",1145337708,3227975486,23954,2603599562,1477,0,0.300371,0,3,3,NULL
96081416,76100492,"2018-05-01 00:01:41",3227975486,1145337708,13330,268195269,1449,0,1.87473,0,13,4,NULL
96081419,76100495,"2018-05-01 00:02:02",1145337708,3227975487,22704,2999200402,6,0,0.099051,0,0,1,NULL
96081420,76100495,"2018-05-01 00:02:02",1145337708,3227975487,22704,3103321100,5,0,0.29147,0,0,2,NULL
96081421,76100495,"2018-05-01 00:02:02",1145337708,3227975487,22704,2982142164,480,0,0.409498,0,4,3,NULL
96081422,76100495,"2018-05-01 00:02:02",3227975487,1145337708,2478,1883767162,455,0,2.09166,0,3,4,NULL
96081425,76100498,"2018-05-01 00:01:41",1145337708,3227975486,23954,2672451295,4,0,0.092588,0,0,1,NULL
96081426,76100498,"2018-05-01 00:01:41",1145337708,3227975486,23954,2500422908,5,0,0.190093,0,0,2,NULL
96081427,76100498,"2018-05-01 00:01:41",1145337708,3227975486,23954,2603599562,1476,0,0.299541,0,3,3,NULL
96081428,76100498,"2018-05-01 00:01:41",3227975486,1145337708,13330,268195269,1449,0,1.87364,0,13,4,NULL
96081431,76100501,"2018-05-01 00:02:02",1145337708,3227975487,22704,2999200402,5,0,0.09809,0,0,1,NULL
96081432,76100501,"2018-05-01 00:02:02",1145337708,3227975487,22704,3103321100,5,0,0.290553,0,0,2,NULL
96081433,76100501,"2018-05-01 00:02:02",1145337708,3227975487,22704,2982142164,480,0,0.408653,0,0,3,NULL
96081434,76100501,"2018-05-01 00:02:02",3227975487,1145337708,2478,1883767162,455,0,2.09069,0,2,4,NULL
96081437,76100504,"2018-05-01 00:00:27",3227975251,1268628388,10000,3715009475,4554,1,15.3526,9,13,1,2
