"cdr_ID","calldate","ip","port","is_caller"
76100359,"2018-05-01 00:00:01",3227975250,24410,1
76100359,"2018-05-01 00:00:01",3495527062,35384,0
76100357,"2018-05-01 00:00:03",3227975250,23314,0
76100360,"2018-05-01 00:00:03",1176778026,2224,1
76100360,"2018-05-01 00:00:03",3227975250,29904,0
76100355,"2018-05-01 00:00:08",3227975250,17072,0
76100543,"2018-05-01 00:00:10",3227975250,31106,1
76100543,"2018-05-01 00:00:10",1614226523,2262,0
76100542,"2018-05-01 00:00:11",3495527062,33206,1
76100542,"2018-05-01 00:00:11",3227975250,25964,0
76100378,"2018-05-01 00:00:25",3227975507,31062,0
76100384,"2018-05-01 00:00:25",3227975250,26744,1
76100384,"2018-05-01 00:00:25",3429196867,25020,0
76100504,"2018-05-01 00:00:27",1268628388,10000,1
76100504,"2018-05-01 00:00:27",3227975251,29504,0
76100435,"2018-05-01 00:00:30",3227975250,29392,1
76100435,"2018-05-01 00:00:30",1268497742,10000,0
76100434,"2018-05-01 00:00:31",3495526932,7230,1
76100434,"2018-05-01 00:00:31",3227975250,28466,0
76100457,"2018-05-01 00:00:32",3227975250,25570,1
76100457,"2018-05-01 00:00:32",3495526932,16260,0
76100472,"2018-05-01 00:00:32",3227975250,30710,1
76100472,"2018-05-01 00:00:32",3429196867,25400,0
76100385,"2018-05-01 00:00:33",1090362003,2232,0
76100436,"2018-05-01 00:00:33",3330677851,11880,1
76100436,"2018-05-01 00:00:33",3227975250,31632,0
76100379,"2018-05-01 00:00:39",3227975250,28926,0
76100381,"2018-05-01 00:00:39",3227975250,19832,0
76100426,"2018-05-01 00:00:39",3227975250,27028,0
76100427,"2018-05-01 00:00:39",3227975250,27662,0
76100430,"2018-05-01 00:00:39",3227975250,21496,0
76100433,"2018-05-01 00:00:48",3227975250,22724,1
76100433,"2018-05-01 00:00:48",3330677851,11884,0
76100431,"2018-05-01 00:00:50",3227975250,17444,0
76100428,"2018-05-01 00:00:52",3227975250,28250,0
76100474,"2018-05-01 00:00:52",3227975250,27838,1
76100474,"2018-05-01 00:00:52",3350650146,2242,0
76100473,"2018-05-01 00:00:53",3495527062,33834,1
76100473,"2018-05-01 00:00:53",3227975250,30004,0
76100475,"2018-05-01 00:01:01",3227975250,26158,1
76100475,"2018-05-01 00:01:01",875246285,9110,0
76100476,"2018-05-01 00:01:04",3495527062,35598,1
76100476,"2018-05-01 00:01:04",3227975250,17474,0
76100461,"2018-05-01 00:01:17",3227975250,25876,1
76100461,"2018-05-01 00:01:17",3495526932,16470,0
76100462,"2018-05-01 00:01:17",3091469318,18000,1
