"id","lastSIPresponse"
5,""
219,"100 Attempting K query"
87,"100 Attempting to connect your call"
134,"100 Giving a try"
225,"100 Telnyx trying"
88,"100 Trying"
304,"100 trying -- your call is important to us"
50,"180 Ringing"
93,"181 Call is being forwarded"
218,"182 Queued"
89,"183 Progress"
61,"183 Session Progress"
75,"200 canceling"
1,"200 OK"
79,"200 ok -- no more pending branches"
76,"202 Accepted"
68,"202 delivered to /dev/null"
3,"302 Moved Temporarily"
197,"400 Bad Contact Header"
62,"400 Bad From header"
157,"400 Bad From URI"
103,"400 Bad Request"
97,"400 Bad Request URI"
224,"400 Bad Session Description"
222,"400 Bad Via Header"
86,"400 Content-Length mis-match"
294,"400 Invalid P-Preferred-Identity"
125,"400 Invalid phone number"
44,"400 Mandatory informatin missing"
135,"401 Not valid credentials"
41,"401 Unauthorized"
80,"403 Call Rejected"
137,"403 Decline"
121,"403 Destination not allowed"
236,"403 DoNotCall FCC Consumer Protection Act"
13,"403 Forbidden"
105,"403 Forbidden - Not Authorized for Service"
29,"403 Forbidden via ACL"
163,"403 Forbidden-Source Endpoint Lookup Failed"
119,"403 From: URI not recognized"
164,"403 High fraud risk"
150,"403 Insufficient funds remaining - support@flowroute.com"
126,"403 Invalid Caller ID"
173,"403 IP not authorized"
106,"403 No pre-loaded routes"
295,"403 Request-uri: invalid address"
107,"403 Spoofed From-URI detected"
149,"403 Unsupported destination - support@flowroute.com"
248,"403 Use Proxy"
136,"404 Called User Unknown"
148,"404 Invalid dialing format - support@flowroute.com"
161,"404 No destination"
15,"404 No Route Found"
25,"404 No route to destination"
54,"404 Nope Nope Nope"
11,"404 Not Found"
118,"404 Not Found-No Route Found"
36,"404 Not here"
217,"404 Not registered"
18,"405 Method Not Allowed"
35,"406 Not Acceptable"
21,"407 Proxy Authentication Required"
71,"408 No response"
19,"408 Request Timeout"
23,"410 Gone"
77,"415 Unsupported Media Type"
104,"416 Unsupported URI scheme"
156,"477 Unfortunately error on sending to next hop occurred (477/TM)"
226,478 
202,"478 Ambiguous"
124,"478 Unresolvable destination (478/SL)"
120,"478 Unresolvable destination (478/TM)"
122,"479 Regretfully, we were not able to process the URI (479/SL)"
72,"480 All servers busy"
117,"480 No answer"
123,"480 Normal unspecified"
99,"480 PBX is shutting down"
30,"480 Temporarily not available"
144,"480 Temporarily Not Available - User is default registered and no service"
4,"480 Temporarily Unavailable"
59,"481 Call Does Not Exist"
90,"481 Call is being terminated"
14,"481 Call Leg/Transaction Does Not Exist"
78,"481 Call/Transaction Does Not Exist"
91,"481 Transaction does not exist"
40,"481 Unknown Dialog"
46,"482 Loop Detected"
73,"482 Rejected"
67,"482 Request merged"
101,"483 Exchange routing error"
100,"483 Message Too Big"
131,"483 Too Many Hops"
20,"484 Address Incomplete"
180,"484 Brazil dialplan mismatch"
307,"484 FT France MGW reject, number incomplete"
187,"484 India national dialplan mismatch"
162,"484 Invalid digits, use 7XXX-XXX-XX-XX syntax"
172,"484 Invalid format - see NANPA rules +1"
47,"484 Invalid number format"
186,"484 Invalid Swedish destination, please check digit lenght"
178,"484 Ivory Coast dialplan mismatch"
116,"484 Not Found-No Route Found"
220,"484 not pnum compliant"
308,"484 Peru national dialplan mismatch"
176,"484 Turkey dialplan mismatch"
58,"486 Because"
108,"486 busy"
7,"486 Busy Here"
109,"486 Busy Here (t1)"
127,"486 Final Reply, no more routing"
185,"486 No more routes to try"
49,"486 Number busy"
31,"486 PEBCAK"
48,"486 Progress timeout"
27,"486 Unable to Comply"
98,"486 undefined"
26,"486 User Busy"
112,"487 Cancelled"
102,"487 Early Session Terminated"
223,"487 Requert Cancelled"
221,"487 Requert Terminated"
64,"487 Request canceled"
9,"487 Request Cancelled"
2,"487 Request Terminated"
10,"487 Request Terminated CANCEL"
296,"487 Request Terminated-Call Abandoned"
81,"487 transaction canceled (487/SL)"
65,"487 transaction canceled (487/TM)"
33,"487 Transaction Cancelled"
63,"487 transaction terminated"
143,"488 Incompatible destination"
56,"488 Not Acceptable Here"
203,"491 Request Pending"
70,"500 Destination Out Of Order"
94,"500 Forking capacity exceeded (12/SL)"
12,"500 Internal Server Error"
181,"500 Network Out Of Order"
43,"500 No Channel Available"
141,"500 No Routes Found"
228,"500 No session set by user"
158,"500 Overlapping Requests"
55,"500 Reply processing error"
95,"500 Server error occurred (1/SL)"
82,"500 Server error occurred (1/TM)"
22,"500 Server Internal Error"
57,"500 Server internal failure"
6,"500 Service Unavailable"
177,"500 Unknown error happened"
175,"501 Method Not Implemented"
60,"501 Not Implemented"
53,"502 Bad Gateway"
83,"502 Destination out of order"
190,"503 (Server Internal Error)"
292,"503 (Temporarily Unavailable)"
311,"503 Account Channel Limit Reached"
237,"503 Call Rate Exceeded"
179,"503 Calling to that destination is not allowed"
34,"503 Calling to that destination is not enabled"
170,"503 Emergency calling not available on this interface"
128,"503 Funds Required B:-1 L:0"
151,"503 Funds Required B:-10 L:0"
258,"503 Funds Required B:-10008 L:0"
239,"503 Funds Required B:-1011 L:0"
238,"503 Funds Required B:-1012 L:0"
213,"503 Funds Required B:-1026 L:0"
242,"503 Funds Required B:-10492 L:0"
241,"503 Funds Required B:-10493 L:0"
240,"503 Funds Required B:-10495 L:0"
215,"503 Funds Required B:-1074 L:0"
207,"503 Funds Required B:-1091 L:0"
316,"503 Funds Required B:-1097 L:0"
139,"503 Funds Required B:-11 L:0"
247,"503 Funds Required B:-11069 L:0"
332,"503 Funds Required B:-1137 L:0"
260,"503 Funds Required B:-11372 L:0"
92,"503 Funds Required B:-1168 L:0"
243,"503 Funds Required B:-11963 L:0"
152,"503 Funds Required B:-12 L:0"
208,"503 Funds Required B:-1235 L:0"
259,"503 Funds Required B:-12548 L:0"
209,"503 Funds Required B:-1267 L:0"
261,"503 Funds Required B:-12755 L:0"
285,"503 Funds Required B:-127774 L:0"
231,"503 Funds Required B:-13 L:0"
147,"503 Funds Required B:-132 L:0"
284,"503 Funds Required B:-137294 L:0"
212,"503 Funds Required B:-1377 L:0"
313,"503 Funds Required B:-1389 L:0"
312,"503 Funds Required B:-1398 L:0"
198,"503 Funds Required B:-14 L:0"
214,"503 Funds Required B:-1401 L:0"
262,"503 Funds Required B:-14137 L:0"
286,"503 Funds Required B:-142050 L:0"
211,"503 Funds Required B:-1437 L:0"
264,"503 Funds Required B:-14412 L:0"
210,"503 Funds Required B:-1443 L:0"
