"ID","cdr_ID","calldate","time","SIPrequest_id","SIPresponse_id","SIPresponseNum"
101321325,76100359,"2018-05-01 00:00:01",11378906,1,NULL,NULL
101321326,76100359,"2018-05-01 00:00:01",11378910,1,NULL,NULL
101321327,76100359,"2018-05-01 00:00:01",11379847,1,NULL,NULL
101321328,76100359,"2018-05-01 00:00:01",11379851,1,NULL,NULL
101321329,76100360,"2018-05-01 00:00:03",9993849,1,NULL,NULL
101321330,76100360,"2018-05-01 00:00:03",9993854,1,NULL,NULL
101321331,76100360,"2018-05-01 00:00:03",9994502,1,NULL,NULL
101321332,76100360,"2018-05-01 00:00:03",9994507,1,NULL,NULL
101321354,76100372,"2018-05-01 00:00:41",4836724,1,NULL,NULL
101321373,76100384,"2018-05-01 00:00:25",13259646,1,NULL,NULL
101321374,76100384,"2018-05-01 00:00:25",13259651,1,NULL,NULL
101321375,76100384,"2018-05-01 00:00:25",13260784,1,NULL,NULL
101321376,76100384,"2018-05-01 00:00:25",13260792,1,NULL,NULL
101321377,76100387,"2018-05-01 00:00:41",4836653,1,NULL,NULL
101321378,76100387,"2018-05-01 00:00:41",4836660,1,NULL,NULL
101321379,76100387,"2018-05-01 00:00:41",4837605,1,NULL,NULL
101321380,76100387,"2018-05-01 00:00:41",4837610,1,NULL,NULL
101321389,76100396,"2018-05-01 00:00:56",3097177,1,NULL,NULL
101321390,76100396,"2018-05-01 00:00:56",3101275,1,NULL,NULL
101321391,76100404,"2018-05-01 00:00:56",3097188,1,NULL,NULL
101321392,76100404,"2018-05-01 00:00:56",3097194,1,NULL,NULL
101321393,76100404,"2018-05-01 00:00:56",3101168,1,NULL,NULL
101321394,76100404,"2018-05-01 00:00:56",3101172,1,NULL,NULL
101321415,76100417,"2018-05-01 00:00:47",13562432,1,NULL,NULL
101321416,76100417,"2018-05-01 00:00:47",13562437,1,NULL,NULL
101321417,76100417,"2018-05-01 00:00:47",13563858,1,NULL,NULL
101321418,76100417,"2018-05-01 00:00:47",13563864,1,NULL,NULL
101321419,76100418,"2018-05-01 00:00:23",45358934,1,NULL,NULL
101321420,76100418,"2018-05-01 00:00:23",45358940,1,NULL,NULL
101321421,76100418,"2018-05-01 00:00:23",45361007,1,NULL,NULL
101321422,76100418,"2018-05-01 00:00:23",45361015,1,NULL,NULL
101321427,76100420,"2018-05-01 00:00:40",27768250,1,NULL,NULL
101321428,76100420,"2018-05-01 00:00:40",27768255,1,NULL,NULL
101321429,76100420,"2018-05-01 00:00:40",27769900,1,NULL,NULL
101321430,76100420,"2018-05-01 00:00:40",27769906,1,NULL,NULL
101321449,76100433,"2018-05-01 00:00:48",3035902,1,NULL,NULL
101321450,76100433,"2018-05-01 00:00:48",3035908,1,NULL,NULL
101321451,76100434,"2018-05-01 00:00:31",27767425,1,NULL,NULL
101321452,76100434,"2018-05-01 00:00:31",27767431,1,NULL,NULL
101321453,76100435,"2018-05-01 00:00:30",29129787,1,NULL,NULL
101321454,76100435,"2018-05-01 00:00:30",29129793,1,NULL,NULL
101321455,76100435,"2018-05-01 00:00:30",29130609,1,NULL,NULL
101321456,76100435,"2018-05-01 00:00:30",29130615,1,NULL,NULL
101321457,76100436,"2018-05-01 00:00:33",17804192,1,NULL,NULL
101321458,76100436,"2018-05-01 00:00:33",17804197,1,NULL,NULL
101321459,76100436,"2018-05-01 00:00:33",17808215,1,NULL,NULL
101321460,76100436,"2018-05-01 00:00:33",17808221,1,NULL,NULL
101321468,76100442,"2018-05-01 00:00:47",13562583,1,NULL,NULL
101321469,76100443,"2018-05-01 00:00:23",45359238,1,NULL,NULL
101321471,76100445,"2018-05-01 00:00:40",27767414,1,NULL,NULL
101321472,76100445,"2018-05-01 00:00:40",27768373,1,NULL,NULL
101321476,76100451,"2018-05-01 00:01:10",7073995,1,NULL,NULL
101321477,76100451,"2018-05-01 00:01:10",7074001,1,NULL,NULL
101321478,76100451,"2018-05-01 00:01:10",7074662,1,NULL,NULL
101321479,76100451,"2018-05-01 00:01:10",7074669,1,NULL,NULL
101321480,76100454,"2018-05-01 00:01:10",7074687,1,NULL,NULL
101321489,76100457,"2018-05-01 00:00:32",43573275,1,NULL,NULL
101321490,76100457,"2018-05-01 00:00:32",43573281,1,NULL,NULL
101321491,76100457,"2018-05-01 00:00:32",43574074,1,NULL,NULL
101321492,76100457,"2018-05-01 00:00:32",43574079,1,NULL,NULL
101321501,76100461,"2018-05-01 00:01:17",8878314,1,NULL,NULL
101321502,76100461,"2018-05-01 00:01:17",8878319,1,NULL,NULL
101321503,76100461,"2018-05-01 00:01:17",8879104,1,NULL,NULL
101321504,76100461,"2018-05-01 00:01:17",8879109,1,NULL,NULL
101321505,76100462,"2018-05-01 00:01:17",8047434,1,NULL,NULL
101321506,76100462,"2018-05-01 00:01:17",8047441,1,NULL,NULL
101321507,76100462,"2018-05-01 00:01:17",8048083,1,NULL,NULL
101321508,76100462,"2018-05-01 00:01:17",8048090,1,NULL,NULL
101321513,76100464,"2018-05-01 00:01:36",2708859,1,NULL,NULL
101321514,76100464,"2018-05-01 00:01:36",2708861,1,NULL,NULL
101321515,76100464,"2018-05-01 00:01:36",2709604,1,NULL,NULL
101321516,76100464,"2018-05-01 00:01:36",2709608,1,NULL,NULL
101321517,76100465,"2018-05-01 00:00:23",70877313,1,NULL,NULL
101321518,76100465,"2018-05-01 00:00:23",70877320,1,NULL,NULL
101321519,76100465,"2018-05-01 00:00:23",70878871,1,NULL,NULL
101321520,76100465,"2018-05-01 00:00:23",70878877,1,NULL,NULL
101321521,76100466,"2018-05-01 00:00:23",70877359,1,NULL,NULL
101321522,76100469,"2018-05-01 00:00:42",17748252,1,NULL,NULL
101321523,76100469,"2018-05-01 00:00:42",17748261,1,NULL,NULL
101321524,76100469,"2018-05-01 00:00:42",17748901,1,NULL,NULL
101321525,76100469,"2018-05-01 00:00:42",17748903,1,NULL,NULL
101321526,76100469,"2018-05-01 00:00:42",17804152,1,NULL,NULL
101321527,76100469,"2018-05-01 00:00:42",17804159,1,NULL,NULL
101321528,76100469,"2018-05-01 00:00:42",17805084,1,NULL,NULL
101321529,76100469,"2018-05-01 00:00:42",17805159,1,NULL,NULL
101321530,76100470,"2018-05-01 00:01:13",39915251,1,NULL,NULL
101321531,76100470,"2018-05-01 00:01:13",39915260,1,NULL,NULL
101321532,76100470,"2018-05-01 00:01:13",39916015,1,NULL,NULL
101321533,76100470,"2018-05-01 00:01:13",39916023,1,NULL,NULL
101321534,76100471,"2018-05-01 00:01:52",7313803,1,NULL,NULL
101321535,76100471,"2018-05-01 00:01:52",7313809,1,NULL,NULL
101321536,76100471,"2018-05-01 00:01:52",7314621,1,NULL,NULL
101321537,76100471,"2018-05-01 00:01:52",7314628,1,NULL,NULL
101321538,76100472,"2018-05-01 00:00:32",70763010,1,NULL,NULL
101321539,76100472,"2018-05-01 00:00:32",70763015,1,NULL,NULL
101321540,76100472,"2018-05-01 00:00:32",70763881,1,NULL,NULL
101321541,76100472,"2018-05-01 00:00:32",70763889,1,NULL,NULL
