"ID","cdr_ID","calldate","type","pos"
419340192,76100359,"2018-05-01 00:00:01",2,0
419340193,76100359,"2018-05-01 00:00:01",3,0
419340194,76100359,"2018-05-01 00:00:01",3,2560
419340195,76100360,"2018-05-01 00:00:03",2,107008
419340196,76100360,"2018-05-01 00:00:03",3,5632
419340197,76100360,"2018-05-01 00:00:03",3,7168
419340416,76100384,"2018-05-01 00:00:25",2,712192
419340417,76100384,"2018-05-01 00:00:25",2,1040896
419340418,76100384,"2018-05-01 00:00:25",3,8704
419340419,76100384,"2018-05-01 00:00:25",3,11776
419340420,76100387,"2018-05-01 00:00:41",2,1117184
419340430,76100410,"2018-05-01 00:00:27",2,1595392
419340513,76100417,"2018-05-01 00:00:47",2,2009088
419340514,76100418,"2018-05-01 00:00:23",2,0
419340515,76100418,"2018-05-01 00:00:23",2,361472
419340516,76100418,"2018-05-01 00:00:23",2,755712
419340517,76100418,"2018-05-01 00:00:23",2,1201152
419340518,76100418,"2018-05-01 00:00:23",2,1829376
419340609,76100433,"2018-05-01 00:00:48",2,3428352
419340610,76100433,"2018-05-01 00:00:48",3,14848
419340611,76100433,"2018-05-01 00:00:48",3,15872
419340612,76100434,"2018-05-01 00:00:31",2,2274304
419340613,76100434,"2018-05-01 00:00:31",2,3161600
419340614,76100434,"2018-05-01 00:00:31",3,26112
419340615,76100434,"2018-05-01 00:00:31",3,32256
419340616,76100435,"2018-05-01 00:00:30",2,2471424
419340617,76100435,"2018-05-01 00:00:30",2,3236352
419340618,76100435,"2018-05-01 00:00:30",3,16896
419340619,76100435,"2018-05-01 00:00:30",3,21504
419340620,76100436,"2018-05-01 00:00:33",2,3317248
419340621,76100436,"2018-05-01 00:00:33",3,38400
419340622,76100436,"2018-05-01 00:00:33",3,40448
419340623,76100449,"2018-05-01 00:00:33",2,2488320
419340624,76100450,"2018-05-01 00:00:36",2,2376704
419340625,76100451,"2018-05-01 00:01:10",2,164352
419340653,76100457,"2018-05-01 00:00:32",2,1091072
419340654,76100457,"2018-05-01 00:00:32",2,1748480
419340655,76100457,"2018-05-01 00:00:32",2,2964480
419340656,76100457,"2018-05-01 00:00:32",2,4464128
419340657,76100457,"2018-05-01 00:00:32",2,5745664
419340658,76100457,"2018-05-01 00:00:32",3,42496
419340659,76100457,"2018-05-01 00:00:32",3,51712
419340684,76100461,"2018-05-01 00:01:17",2,781824
419340685,76100461,"2018-05-01 00:01:17",3,0
419340686,76100461,"2018-05-01 00:01:17",3,2560
419340687,76100462,"2018-05-01 00:01:17",2,657408
419340688,76100462,"2018-05-01 00:01:17",3,5120
419340689,76100462,"2018-05-01 00:01:17",3,7680
419340704,76100464,"2018-05-01 00:01:36",2,1563136
419340705,76100464,"2018-05-01 00:01:36",3,10240
419340706,76100464,"2018-05-01 00:01:36",3,11264
419340707,76100465,"2018-05-01 00:00:23",2,197120
419340708,76100465,"2018-05-01 00:00:23",2,558592
419340709,76100465,"2018-05-01 00:00:23",2,952832
419340710,76100465,"2018-05-01 00:00:23",2,1398272
419340711,76100465,"2018-05-01 00:00:23",2,1632256
