"id_sensor","time","saddr","mosf1_min","mosf1_avg","mosf2_min","mosf2_avg","mosAD_min","mosAD_avg","jitter_max","jitter_avg","loss_max_mult10","loss_avg_mult10","counter"
501,"2018-05-14 00:00:00",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:00",1176778026,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:00",1653560604,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:00:00",1654599250,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:00",3227975250,45,45,45,45,45,45,0,0,0,0,6
501,"2018-05-14 00:00:00",3495526932,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:00:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:10",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:10",1653560604,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:00:10",1654599250,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:10",3227975250,45,45,45,45,45,45,0,0,0,0,4
902,"2018-05-14 00:00:10",3423417093,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:10",3495526932,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:10",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:20",845308522,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:00:20",1654599251,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:20",3227975250,45,45,45,45,45,45,0,0,0,0,5
501,"2018-05-14 00:00:20",3227975251,45,45,45,45,45,45,0,0,0,0,3
501,"2018-05-14 00:00:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:30",845308522,45,45,45,45,45,45,1,1,0,0,1
902,"2018-05-14 00:00:30",1654599250,45,45,45,45,45,45,0,0,2,1,4
902,"2018-05-14 00:00:30",1654599251,45,45,45,45,45,45,0,0,2,2,1
501,"2018-05-14 00:00:30",3227975250,45,45,45,45,45,45,0,0,0,0,3
501,"2018-05-14 00:00:30",3227975251,45,45,45,45,45,45,0,0,0,0,3
801,"2018-05-14 00:00:30",3227975506,45,45,45,45,45,45,0,0,0,0,9
501,"2018-05-14 00:00:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:40",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:00:40",3227975250,45,45,45,45,45,45,0,0,0,0,2
801,"2018-05-14 00:00:40",3227975506,45,45,45,45,45,45,0,0,0,0,9
501,"2018-05-14 00:00:40",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:00:50",845308522,45,45,45,45,45,45,1,1,0,0,1
501,"2018-05-14 00:00:50",3227975250,45,45,45,45,45,45,0,0,0,0,1
801,"2018-05-14 00:00:50",3227975506,45,45,45,45,45,45,0,0,2,1,6
501,"2018-05-14 00:01:00",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:01:00",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:01:00",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:01:10",845308522,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:01:10",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:01:10",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:01:20",3227975250,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:01:20",3495526934,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:01:30",845308522,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:30",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:30",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:01:30",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:01:30",3495526934,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:30",3507482152,45,45,45,45,45,45,0,0,0,0,1
501,"2018-05-14 00:01:40",845308522,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:40",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:40",1654599251,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:01:40",3227975250,45,45,45,45,45,45,0,0,0,0,2
501,"2018-05-14 00:01:40",3495526934,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:40",3507482152,45,45,45,45,45,45,2,2,0,0,1
501,"2018-05-14 00:01:50",845308522,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:50",1275790787,45,45,45,45,45,45,0,0,0,0,1
902,"2018-05-14 00:01:50",1654599251,45,45,45,45,45,45,0,0,0,0,2
