,ID,calldate,callend,duration,connect_duration,progress_time,first_rtp_time,caller,caller_domain,caller_reverse,callername,callername_reverse,called,called_domain,called_reverse,sipcallerip,sipcallerport,sipcalledip,sipcalledport,whohanged,bye,lastSIPresponse_id,lastSIPresponseNum,sighup,dscp,a_index,b_index,a_payload,b_payload,a_saddr,b_saddr,a_received,b_received,a_lost,b_lost,a_ua_id,b_ua_id,a_avgjitter_mult10,b_avgjitter_mult10,a_maxjitter,b_maxjitter,a_sl1,a_sl2,a_sl3,a_sl4,a_sl5,a_sl6,a_sl7,a_sl8,a_sl9,a_sl10,a_d50,a_d70,a_d90,a_d120,a_d150,a_d200,a_d300,b_sl1,b_sl2,b_sl3,b_sl4,b_sl5,b_sl6,b_sl7,b_sl8,b_sl9,b_sl10,b_d50,b_d70,b_d90,b_d120,b_d150,b_d200,b_d300,a_mos_lqo_mult10,b_mos_lqo_mult10,a_mos_f1_mult10,a_mos_f2_mult10,a_mos_adapt_mult10,b_mos_f1_mult10,b_mos_f2_mult10,b_mos_adapt_mult10,a_rtcp_loss,a_rtcp_maxfr,a_rtcp_avgfr_mult10,a_rtcp_maxjitter,a_rtcp_avgjitter_mult10,b_rtcp_loss,b_rtcp_maxfr,b_rtcp_avgfr_mult10,b_rtcp_maxjitter,b_rtcp_avgjitter_mult10,a_last_rtp_from_end,b_last_rtp_from_end,payload,jitter_mult10,mos_min_mult10,a_mos_min_mult10,b_mos_min_mult10,packet_loss_perc_mult1000,a_packet_loss_perc_mult1000,b_packet_loss_perc_mult1000,delay_sum,a_delay_sum,b_delay_sum,delay_avg_mult100,a_delay_avg_mult100,b_delay_avg_mult100,delay_cnt,a_delay_cnt,b_delay_cnt,rtcp_avgfr_mult10,rtcp_avgjitter_mult10,lost,id_sensor,price_operator_mult100,price_operator_currency_id,price_customer_mult100,price_customer_currency_id,reason_sip_cause,reason_sip_text_id,reason_q850_cause,reason_q850_text_id,caller_silence,called_silence,caller_silence_end,called_silence_end,a_mos_xr_min_mult10,b_mos_xr_min_mult10,a_mos_xr_mult10,b_mos_xr_mult10,response_time_100,response_time_xxx,a_mos_f1_min_mult10,a_mos_f2_min_mult10,a_mos_adapt_min_mult10,b_mos_f1_min_mult10,b_mos_f2_min_mult10,b_mos_adapt_min_mult10,a_rtp_ptime,b_rtp_ptime,flags,ipaddr_caller,ipaddr_called,ipaddr_lat_sip_caller,ipaddr_lat_ip_called,ipaddr_lons_ip_caller,ipaddr_lons_ip_called,caller_city_asn,called_city_asn
87,76107564,2018-05-01 12:09:48,2018-05-01 12:10:17,29,8.0,1.0,1.0,anonym,sanitized,mynona,sanitized,sanitized,190244,sanitized,442091,773050638,5060,1654599251,11000,caller,3,1,200,0,33690112,1.0,0.0,0.0,0.0,773050703.0,1654599251.0,408.0,1391.0,0.0,0.0,738.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,3.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,318.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,46.19.209.14,98.159.46.83,53.3472,40.7432,-6.2439,-75.2242,,Easton
94,76105565,2018-05-01 11:40:11,2018-05-01 11:41:53,102,102.0,0.0,0.0,anonym,sanitized,mynona,sanitized,sanitized,170970,sanitized,079071,773050638,5060,1654599251,11000,caller,3,1,200,0,33690112,1.0,0.0,0.0,0.0,773050704.0,1654599251.0,5079.0,5067.0,0.0,0.0,738.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,2.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,452.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,46.19.209.14,98.159.46.83,53.3472,40.7432,-6.2439,-75.2242,,Easton
96,76105566,2018-05-01 11:40:36,2018-05-01 11:41:53,77,73.0,0.0,4.0,anonym,sanitized,mynona,sanitized,sanitized,device,sanitized,ecived,1654599251,11000,2393257259,1030,caller,3,1,200,0,33685510,0.0,1.0,9.0,9.0,1654599251.0,2393257259.0,3657.0,3649.0,0.0,0.0,2.0,3931.0,2.0,26.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,3.0,20.0,65535.0,0.0,0.0,12.0,86.0,0.0,0.0,9.0,26.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,147.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,98.159.46.83,142.166.53.43,40.7432,47.5334,-75.2242,-52.7595,Easton,St. John's
99,76109409,2018-05-01 12:25:23,2018-05-01 12:27:49,146,89.0,0.0,1.0,anonym,sanitized,mynona,sanitized,sanitized,170957,sanitized,759071,773050638,5060,1654599251,11000,caller,3,1,200,0,33690112,1.0,0.0,0.0,0.0,773050704.0,1654599251.0,4418.0,7227.0,0.0,0.0,738.0,2.0,3.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,44.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,3.0,45.0,45.0,45.0,0.0,0.0,0.0,105.0,105.0,0.0,10500.0,10500.0,0.0,1.0,1.0,0.0,,,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,132.0,45.0,45.0,40.0,45.0,45.0,42.0,20.0,20.0,,46.19.209.14,98.159.46.83,53.3472,40.7432,-6.2439,-75.2242,,Easton
100,76109410,2018-05-01 12:26:09,2018-05-01 12:27:49,100,89.0,0.0,,anonym,sanitized,mynona,sanitized,sanitized,device,sanitized,ecived,1654599251,11000,2393249330,5060,caller,3,1,200,0,33685504,,,,,,,,,,,2.0,3198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,,,,,,,16.0,21.0,,,,,,,,,1.0,75.0,,,,,,,,,,98.159.46.83,142.166.22.50,40.7432,47.5124,-75.2242,-52.6729,Easton,St. John's
105,76100714,2018-05-01 00:07:42,2018-05-01 00:08:02,20,2.0,0.0,19.0,anonym,sanitized,mynona,sanitized,sanitized,778726,sanitized,627877,3227975251,11000,3091469318,5060,caller,3,1,200,0,33685550,0.0,1.0,0.0,0.0,3227975251.0,3091469318.0,54.0,52.0,0.0,0.0,2.0,,1.0,22.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,22.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,501,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,37.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.254.83,184.68.20.6,43.6319,49.2436,-79.3716,-122.7865,,Port Coquitlam
106,76109420,2018-05-01 12:26:09,2018-05-01 12:27:49,100,89.0,0.0,,anonym,sanitized,mynona,sanitized,sanitized,device,sanitized,ecived,1654599251,11000,2393249330,5060,caller,3,1,200,0,33685504,,,,,,,,,,,2.0,3198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,,,,,,,16.0,21.0,,,,,,,,,1.0,75.0,,,,,,,,,,98.159.46.83,142.166.22.50,40.7432,47.5124,-75.2242,-52.6729,Easton,St. John's
130,76105917,2018-05-01 11:46:11,2018-05-01 11:47:23,72,72.0,0.0,0.0,anonym,sanitized,mynona,sanitized,sanitized,170970,sanitized,079071,773050638,5060,1654599251,11000,callee,3,1,200,0,33690112,1.0,0.0,0.0,0.0,773050703.0,1654599251.0,3598.0,3582.0,0.0,0.0,738.0,2.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,2.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,68.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,46.19.209.14,98.159.46.83,53.3472,40.7432,-6.2439,-75.2242,,Easton
131,76105918,2018-05-01 11:46:19,2018-05-01 11:47:23,64,61.0,1.0,3.0,anonym,sanitized,mynona,sanitized,sanitized,device,sanitized,ecived,1654599251,11000,2393257259,1030,callee,3,1,200,0,33685510,0.0,1.0,9.0,9.0,1654599251.0,2393257259.0,3039.0,3028.0,0.0,0.0,2.0,3931.0,2.0,27.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,3.0,22.0,65535.0,0.0,0.0,7.0,36.0,0.0,0.0,9.0,27.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,146.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,98.159.46.83,142.166.53.43,40.7432,47.5334,-75.2242,-52.7595,Easton,St. John's
134,76100801,2018-05-01 00:10:22,2018-05-01 00:10:43,21,21.0,0.0,0.0,anonym,sanitized,mynona,sanitized,sanitized,778726,sanitized,627877,3227975251,11000,3091469318,5060,caller,3,1,200,0,33685550,0.0,1.0,0.0,0.0,3227975251.0,3091469318.0,1050.0,1049.0,0.0,0.0,2.0,,2.0,29.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,3.0,,,,,,0.0,0.0,0.0,29.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,501,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,21.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.254.83,184.68.20.6,43.6319,49.2436,-79.3716,-122.7865,,Port Coquitlam
146,76101080,2018-05-01 00:19:13,2018-05-01 00:19:50,37,35.0,0.0,,anonym,sanitized,mynona,sanitized,sanitized,201,sanitized,102,3227975250,11000,3330677851,1107,caller,2,1,200,0,33685504,,,,,,,,,,,2.0,3599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,,,,,,,16.0,21.0,,,,,,,,,1.0,70.0,,,,,,,,,4.0,192.102.254.82,198.134.28.91,43.6319,55.3333,-79.3716,-115.4167,,Kinuso
149,76101081,2018-05-01 00:19:13,2018-05-01 00:19:50,37,35.0,0.0,,anonym,sanitized,mynona,sanitized,sanitized,201,sanitized,102,3227975250,11000,3330677851,1107,caller,2,1,200,0,33685504,,,,,,,,,,,2.0,3599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,,,,,,,16.0,21.0,,,,,,,,,1.0,70.0,,,,,,,,,4.0,192.102.254.82,198.134.28.91,43.6319,55.3333,-79.3716,-115.4167,,Kinuso
156,76108763,2018-05-01 12:22:23,2018-05-01 12:22:49,26,16.0,0.0,10.0,anonym,sanitized,mynona,sanitized,sanitized,device,sanitized,ecived,1654599250,11000,2393249330,1055,callee,3,1,200,0,33685510,2.0,1.0,9.0,9.0,1654599250.0,2393249330.0,689.0,694.0,0.0,0.0,2.0,3931.0,1.0,24.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,2.0,21.0,,,,,,,,9.0,24.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,138.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,98.159.46.82,142.166.22.50,40.7432,47.5124,-75.2242,-52.6729,Easton,St. John's
163,76103393,2018-05-01 05:15:32,2018-05-01 05:16:01,29,18.0,2.0,11.0,anonym,sanitized,mynona,sanitized,sanitized,151933,sanitized,339151,3227975507,11000,3438593084,5060,caller,3,1,200,0,33685504,1.0,0.0,0.0,0.0,3227975507.0,3438593084.0,894.0,904.0,0.0,0.0,2.0,,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,43.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801,,,,,,,16.0,21.0,,,,,,,,,1.0,1703.0,45.0,45.0,41.0,45.0,45.0,45.0,20.0,20.0,,192.102.255.83,204.244.196.60,43.6319,43.6518,-79.3716,-79.5076,,Toronto
166,76103395,2018-05-01 05:15:32,2018-05-01 05:16:01,29,18.0,2.0,11.0,anonym,sanitized,mynona,sanitized,sanitized,151933,sanitized,339151,3227975504,5060,3438593084,5060,caller,3,1,200,0,33554432,1.0,0.0,0.0,0.0,3227975507.0,3438593084.0,894.0,904.0,0.0,0.0,2.0,,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,43.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802,,,,,,,16.0,21.0,,,,,,,,,50.0,1702.0,45.0,45.0,40.0,45.0,45.0,45.0,20.0,20.0,,192.102.255.80,204.244.196.60,43.6319,43.6518,-79.3716,-79.5076,,Toronto
169,76103397,2018-05-01 05:17:08,2018-05-01 05:18:08,60,42.0,1.0,18.0,anonym,sanitized,mynona,sanitized,sanitized,400,sanitized,004,3227975507,11000,1217119809,1231,callee,3,1,200,0,33685504,2.0,1.0,9.0,9.0,3227975507.0,1217119809.0,2096.0,2107.0,2.0,0.0,2.0,,1.0,22.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,9.0,22.0,45.0,45.0,45.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,801,,,,,,,,,,,,,,,,,1.0,245.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.255.83,72.139.198.65,43.6319,43.6404,-79.3716,-79.3995,,Toronto
173,76103399,2018-05-01 05:17:08,2018-05-01 05:18:08,60,42.0,1.0,18.0,anonym,sanitized,mynona,sanitized,sanitized,400,sanitized,004,3227975504,7000,1217119809,1231,callee,3,1,200,0,33554432,2.0,1.0,9.0,9.0,3227975507.0,1217119809.0,2098.0,2107.0,0.0,0.0,2.0,,1.0,22.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,9.0,22.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,802,,,,,,,,,,,,,,,,,184.0,244.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.255.80,72.139.198.65,43.6319,43.6404,-79.3716,-79.3995,,Toronto
175,76103404,2018-05-01 05:18:37,2018-05-01 05:21:10,153,132.0,0.0,21.0,anonym,sanitized,mynona,sanitized,sanitized,200,sanitized,002,3227975506,11000,1217121724,7808,callee,3,1,200,0,33685504,2.0,1.0,0.0,0.0,3227975506.0,1217121724.0,6591.0,6600.0,0.0,0.0,2.0,,1.0,28.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,28.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,801,,,,,,,,,,,,,,,,,2.0,226.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.255.82,72.139.205.188,43.6319,43.6404,-79.3716,-79.3995,,Toronto
