,ID,calldate,callend,duration,connect_duration,progress_time,first_rtp_time,caller,caller_domain,caller_reverse,callername,callername_reverse,called,called_domain,called_reverse,sipcallerip,sipcallerport,sipcalledip,sipcalledport,whohanged,bye,lastSIPresponse_id,lastSIPresponseNum,sighup,dscp,a_index,b_index,a_payload,b_payload,a_saddr,b_saddr,a_received,b_received,a_lost,b_lost,a_ua_id,b_ua_id,a_avgjitter_mult10,b_avgjitter_mult10,a_maxjitter,b_maxjitter,a_sl1,a_sl2,a_sl3,a_sl4,a_sl5,a_sl6,a_sl7,a_sl8,a_sl9,a_sl10,a_d50,a_d70,a_d90,a_d120,a_d150,a_d200,a_d300,b_sl1,b_sl2,b_sl3,b_sl4,b_sl5,b_sl6,b_sl7,b_sl8,b_sl9,b_sl10,b_d50,b_d70,b_d90,b_d120,b_d150,b_d200,b_d300,a_mos_lqo_mult10,b_mos_lqo_mult10,a_mos_f1_mult10,a_mos_f2_mult10,a_mos_adapt_mult10,b_mos_f1_mult10,b_mos_f2_mult10,b_mos_adapt_mult10,a_rtcp_loss,a_rtcp_maxfr,a_rtcp_avgfr_mult10,a_rtcp_maxjitter,a_rtcp_avgjitter_mult10,b_rtcp_loss,b_rtcp_maxfr,b_rtcp_avgfr_mult10,b_rtcp_maxjitter,b_rtcp_avgjitter_mult10,a_last_rtp_from_end,b_last_rtp_from_end,payload,jitter_mult10,mos_min_mult10,a_mos_min_mult10,b_mos_min_mult10,packet_loss_perc_mult1000,a_packet_loss_perc_mult1000,b_packet_loss_perc_mult1000,delay_sum,a_delay_sum,b_delay_sum,delay_avg_mult100,a_delay_avg_mult100,b_delay_avg_mult100,delay_cnt,a_delay_cnt,b_delay_cnt,rtcp_avgfr_mult10,rtcp_avgjitter_mult10,lost,id_sensor,price_operator_mult100,price_operator_currency_id,price_customer_mult100,price_customer_currency_id,reason_sip_cause,reason_sip_text_id,reason_q850_cause,reason_q850_text_id,caller_silence,called_silence,caller_silence_end,called_silence_end,a_mos_xr_min_mult10,b_mos_xr_min_mult10,a_mos_xr_mult10,b_mos_xr_mult10,response_time_100,response_time_xxx,a_mos_f1_min_mult10,a_mos_f2_min_mult10,a_mos_adapt_min_mult10,b_mos_f1_min_mult10,b_mos_f2_min_mult10,b_mos_adapt_min_mult10,a_rtp_ptime,b_rtp_ptime,flags,ipaddr_caller,ipaddr_called,ipaddr_lat_sip_caller,ipaddr_lat_ip_called,ipaddr_lons_ip_caller,ipaddr_lons_ip_called,caller_city_asn,called_city_asn
87,76107564,2018-05-01 12:09:48,2018-05-01 12:10:17,29,8.0,1.0,1.0,anonym,sanitized,mynona,sanitized,sanitized,190244,sanitized,442091,773050638,5060,1654599251,11000,caller,3,1,200,0,33690112,1.0,0.0,0.0,0.0,773050703.0,1654599251.0,408.0,1391.0,0.0,0.0,738.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,3.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,318.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,46.19.209.14,98.159.46.83,53.3472,40.7432,-6.2439,-75.2242,,Easton
96,76105566,2018-05-01 11:40:36,2018-05-01 11:41:53,77,73.0,0.0,4.0,anonym,sanitized,mynona,sanitized,sanitized,device,sanitized,ecived,1654599251,11000,2393257259,1030,caller,3,1,200,0,33685510,0.0,1.0,9.0,9.0,1654599251.0,2393257259.0,3657.0,3649.0,0.0,0.0,2.0,3931.0,2.0,26.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,3.0,20.0,65535.0,0.0,0.0,12.0,86.0,0.0,0.0,9.0,26.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,147.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,98.159.46.83,142.166.53.43,40.7432,47.5334,-75.2242,-52.7595,Easton,St. John's
105,76100714,2018-05-01 00:07:42,2018-05-01 00:08:02,20,2.0,0.0,19.0,anonym,sanitized,mynona,sanitized,sanitized,778726,sanitized,627877,3227975251,11000,3091469318,5060,caller,3,1,200,0,33685550,0.0,1.0,0.0,0.0,3227975251.0,3091469318.0,54.0,52.0,0.0,0.0,2.0,,1.0,22.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,22.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,501,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,37.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.254.83,184.68.20.6,43.6319,49.2436,-79.3716,-122.7865,,Port Coquitlam
146,76101080,2018-05-01 00:19:13,2018-05-01 00:19:50,37,35.0,0.0,,anonym,sanitized,mynona,sanitized,sanitized,201,sanitized,102,3227975250,11000,3330677851,1107,caller,2,1,200,0,33685504,,,,,,,,,,,2.0,3599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,,,,,,,16.0,21.0,,,,,,,,,1.0,70.0,,,,,,,,,4.0,192.102.254.82,198.134.28.91,43.6319,55.3333,-79.3716,-115.4167,,Kinuso
163,76103393,2018-05-01 05:15:32,2018-05-01 05:16:01,29,18.0,2.0,11.0,anonym,sanitized,mynona,sanitized,sanitized,151933,sanitized,339151,3227975507,11000,3438593084,5060,caller,3,1,200,0,33685504,1.0,0.0,0.0,0.0,3227975507.0,3438593084.0,894.0,904.0,0.0,0.0,2.0,,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,43.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,2.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801,,,,,,,16.0,21.0,,,,,,,,,1.0,1703.0,45.0,45.0,41.0,45.0,45.0,45.0,20.0,20.0,,192.102.255.83,204.244.196.60,43.6319,43.6518,-79.3716,-79.5076,,Toronto
193,76103675,2018-05-01 09:26:47,2018-05-01 09:30:16,209,209.0,0.0,,anonym,sanitized,mynona,sanitized,sanitized,519882,sanitized,288915,3227975507,11000,846445562,1024,caller,3,1,200,0,33685504,,,,,,,,,,,2.0,2570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,255.0,,255.0,,,16.0,21.0,,,,,,,,,1.0,31.0,,,,,,,,,,192.102.255.83,50.115.187.250,43.6319,42.9578,-79.3716,-82.2777,,Sarnia
208,76101537,2018-05-01 00:41:02,2018-05-01 00:45:28,266,266.0,0.0,0.0,Unavai,sanitized,iavanU,sanitized,sanitized,866943,sanitized,349668,3227975250,11000,875246285,5060,callee,3,1,200,0,33685504,1.0,0.0,0.0,0.0,3227975250.0,875246285.0,13273.0,13285.0,0.0,1.0,2.0,3969.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,,,,,,,,,,,0.0,0.0,0.0,2.0,45.0,45.0,45.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,501,,255.0,,255.0,,,,,,,,,,,,,1.0,397.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,192.102.254.82,52.43.50.205,43.6319,45.8696,-79.3716,-119.688,,Boardman
209,76106752,2018-05-01 11:57:17,2018-05-01 11:59:38,141,133.0,0.0,1.0,device,sanitized,ecived,sanitized,sanitized,738284,sanitized,482837,417208698,50580,1654599251,11000,caller,3,1,200,0,33685504,2.0,0.0,9.0,9.0,417208698.0,1654599251.0,6645.0,7012.0,0.0,0.0,3931.0,2.0,27.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,0.0,0.0,4.0,14.0,65535.0,7.0,6.0,7.0,27.0,0.0,0.0,9.0,27.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,1.0,5.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,24.222.25.122,98.159.46.83,45.2,40.7432,-64.1167,-75.2242,Cambridge,Easton
210,76107009,2018-05-01 12:03:19,2018-05-01 12:03:59,40,18.0,6.0,6.0,device,sanitized,ecived,sanitized,sanitized,763897,sanitized,798367,1676539840,1026,1654599251,11000,caller,3,1,200,0,33690112,2.0,0.0,9.0,9.0,1676539840.0,1654599251.0,840.0,1684.0,0.0,0.0,3920.0,2.0,27.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,0.0,0.0,0.0,5.0,51.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,9.0,27.0,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,902,,255.0,,255.0,,,,,,,,,,,,,2.0,6.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,99.237.247.192,98.159.46.83,47.6333,40.7432,-52.85,-75.2242,Portugal Cove,Easton
212,76105477,2018-05-01 11:37:18,2018-05-01 11:39:54,156,153.0,0.0,0.0,device,sanitized,ecived,sanitized,sanitized,200,sanitized,002,2393990862,1027,1654599251,11000,caller,3,1,200,0,33687040,2.0,0.0,9.0,9.0,2393990862.0,1654599251.0,7661.0,7783.0,1.0,0.0,3770.0,2.0,16.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,45.0,45.0,45.0,45.0,45.0,45.0,65535.0,0.0,0.0,13.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,45.0,45.0,45.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,902,,255.0,,255.0,,,,,,,,,,,,,2.0,5.0,45.0,45.0,45.0,45.0,45.0,45.0,20.0,20.0,,142.177.102.206,98.159.46.83,47.5124,40.7432,-52.6729,-75.2242,St. John's,Easton
