,Unnamed: 0,ID,calldate,callend,duration,connect_duration,progress_time,first_rtp_time,caller,caller_domain,caller_reverse,callername,callername_reverse,called,called_domain,called_reverse,sipcallerip,sipcallerport,sipcalledip,sipcalledport,whohanged,bye,lastSIPresponse_id,lastSIPresponseNum,sighup,dscp,a_index,b_index,a_payload,b_payload,a_saddr,b_saddr,a_received,b_received,a_lost,b_lost,a_ua_id,b_ua_id,a_avgjitter_mult10,b_avgjitter_mult10,a_maxjitter,b_maxjitter,a_sl1,a_sl2,a_sl3,a_sl4,a_sl5,a_sl6,a_sl7,a_sl8,a_sl9,a_sl10,a_d50,a_d70,a_d90,a_d120,a_d150,a_d200,a_d300,b_sl1,b_sl2,b_sl3,b_sl4,b_sl5,b_sl6,b_sl7,b_sl8,b_sl9,b_sl10,b_d50,b_d70,b_d90,b_d120,b_d150,b_d200,b_d300,a_mos_lqo_mult10,b_mos_lqo_mult10,a_mos_f1_mult10,a_mos_f2_mult10,a_mos_adapt_mult10,b_mos_f1_mult10,b_mos_f2_mult10,b_mos_adapt_mult10,a_rtcp_loss,a_rtcp_maxfr,a_rtcp_avgfr_mult10,a_rtcp_maxjitter,a_rtcp_avgjitter_mult10,b_rtcp_loss,b_rtcp_maxfr,b_rtcp_avgfr_mult10,b_rtcp_maxjitter,b_rtcp_avgjitter_mult10,a_last_rtp_from_end,b_last_rtp_from_end,payload,jitter_mult10,mos_min_mult10,a_mos_min_mult10,b_mos_min_mult10,packet_loss_perc_mult1000,a_packet_loss_perc_mult1000,b_packet_loss_perc_mult1000,delay_sum,a_delay_sum,b_delay_sum,delay_avg_mult100,a_delay_avg_mult100,b_delay_avg_mult100,delay_cnt,a_delay_cnt,b_delay_cnt,rtcp_avgfr_mult10,rtcp_avgjitter_mult10,lost,id_sensor,price_operator_mult100,price_operator_currency_id,price_customer_mult100,price_customer_currency_id,reason_sip_cause,reason_sip_text_id,reason_q850_cause,reason_q850_text_id,caller_silence,called_silence,caller_silence_end,called_silence_end,a_mos_xr_min_mult10,b_mos_xr_min_mult10,a_mos_xr_mult10,b_mos_xr_mult10,response_time_100,response_time_xxx,a_mos_f1_min_mult10,a_mos_f2_min_mult10,a_mos_adapt_min_mult10,b_mos_f1_min_mult10,b_mos_f2_min_mult10,b_mos_adapt_min_mult10,a_rtp_ptime,b_rtp_ptime,flags,ipaddr_caller,ipaddr_called,ipaddr_lat_sip_caller,ipaddr_lat_ip_called,ipaddr_lons_ip_caller,ipaddr_lons_ip_called,sipcallerasn,sipcallerasorg,sipcalledasn,sipcalledasorg,a_saddr_asn,a_saddr_asorg,b_saddr_asn,b_saddr_asorg,caller_city_asn,called_city_asn
0,0,76108556,2018-05-01 12:19:22,2018-05-01 12:20:15,53,29,3,3,user_z,sanitized,z_resu,sanitized,sanitized,416346,sanitized,643614,1168513348,1029,3227975506,11000,caller,3,1,200,0,33685504,1,2,0,0,1168513348,3227975506,1659,1647,0,0,5,2,26,100,18,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,65535,3,3,12,102,0,0,0,100,45,45,45,0,0,0,180,180,0,6000,6000,0,3,3,0,3,102,0,801,,,,,,,,,,,,,,,,,2,4,45,45,45,45,45,45,30,30,,69.166.25.68,192.102.255.82,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
1,1,76108561,2018-05-01 12:19:22,2018-05-01 12:20:15,53,29,3,3,user_z,sanitized,z_resu,sanitized,sanitized,416346,sanitized,643614,1168513348,1029,3227975504,7000,caller,3,1,200,0,131072,1,2,0,0,1168513348,3227975506,1658,1647,0,0,5,2,26,99,18,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,65535,3,3,12,102,0,0,0,99,45,45,45,0,0,0,180,180,0,6000,6000,0,3,3,0,3,102,0,802,,,,,,,,,,,,,,,,,2,5,45,45,45,45,45,45,30,30,,69.166.25.68,192.102.255.80,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
2,2,76104730,2018-05-01 11:12:41,2018-05-01 11:13:34,53,37,3,3,user_z,sanitized,z_resu,sanitized,sanitized,151966,sanitized,669151,3349638548,1946,3227975507,11000,caller,3,1,200,0,33685504,0,1,0,0,3349638548,3227975507,2500,2501,0,0,3731,2,13,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,801,,,,,,,,,,,,,,,,,2,5,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.83,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
3,3,76104735,2018-05-01 11:12:41,2018-05-01 11:13:34,53,37,3,3,user_z,sanitized,z_resu,sanitized,sanitized,151966,sanitized,669151,3349638548,1946,3227975505,7000,caller,3,1,200,0,131072,0,1,0,0,3349638548,3227975507,2498,2501,0,0,3731,2,13,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,13,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,,,0,802,,,,,,,,,,,,,,,,,3,6,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
4,4,76105558,2018-05-01 11:40:31,2018-05-01 11:41:51,80,72,3,3,user_z,sanitized,z_resu,sanitized,sanitized,416688,sanitized,886614,1168513348,1029,3227975504,7000,caller,3,1,200,0,131072,1,2,0,0,1168513348,3227975507,2547,2538,0,0,5,2,8,100,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,0,0,0,12,96,0,0,0,100,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,802,,,,,,,,,,,,,,,,,2,5,45,45,45,45,45,45,30,30,,69.166.25.68,192.102.255.80,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
5,5,76105564,2018-05-01 11:40:31,2018-05-01 11:41:51,80,72,3,3,user_z,sanitized,z_resu,sanitized,sanitized,416688,sanitized,886614,1168513348,1029,3227975507,11000,caller,3,1,200,0,33685504,1,2,0,0,1168513348,3227975507,2548,2538,0,0,5,2,8,100,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,0,0,0,12,96,0,0,0,100,45,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,801,,,,,,,,,,,,,,,,,1,4,45,45,45,45,45,45,30,30,,69.166.25.68,192.102.255.83,43.5637,43.6319,-79.7202,-79.3716,36493,FIBERNETICS CORPORATION,393755,CloudPBX,36493,FIBERNETICS CORPORATION,393755,CloudPBX,Mississauga,
6,6,76106144,2018-05-01 11:49:13,2018-05-01 11:50:55,102,84,9,9,user_z,sanitized,z_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1946,3227975507,11000,caller,3,1,200,0,33685504,1,0,0,0,3349638548,3227975507,4634,4636,0,2,3731,2,16,2,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,16,45,45,45,43,0,43,240,240,0,12000,12000,0,2,2,0,,,2,801,,,,,,,,,,,,,,,,,2,5,45,45,41,45,45,45,20,20,,199.167.109.148,192.102.255.83,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
7,7,76106152,2018-05-01 11:49:13,2018-05-01 11:50:55,102,84,9,9,user_z,sanitized,z_resu,sanitized,sanitized,519923,sanitized,329915,3349638548,1946,3227975505,7000,caller,3,1,200,0,131072,1,0,0,0,3349638548,3227975507,4633,4637,0,0,3731,2,16,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,16,45,45,45,0,0,0,240,240,0,12000,12000,0,2,2,0,,,0,802,,,,,,,,,,,,,,,,,2,6,45,45,41,45,45,45,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
8,8,76104689,2018-05-01 11:04:14,2018-05-01 11:11:54,460,437,3,3,user_z,sanitized,z_resu,sanitized,sanitized,151966,sanitized,669151,3349638548,1946,3227975507,11000,caller,3,1,200,0,33685504,0,1,0,0,3349638548,3227975507,22836,22839,2,0,3731,2,14,1,8,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,14,45,45,45,9,9,0,140,140,0,7000,7000,0,2,2,0,,,2,801,,,,,,,,,,,,,,,,,2,5,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.83,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
9,9,76104696,2018-05-01 11:04:14,2018-05-01 11:11:54,460,437,3,3,user_z,sanitized,z_resu,sanitized,sanitized,151966,sanitized,669151,3349638548,1946,3227975505,7000,caller,3,1,200,0,131072,0,1,0,0,3349638548,3227975507,22836,22838,0,0,3731,2,14,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,45,45,45,45,45,,,,,,,,,,,0,0,0,14,45,45,45,0,0,0,80,80,0,8000,8000,0,1,1,0,,,0,802,,,,,,,,,,,,,,,,,2,6,45,45,45,45,45,45,20,20,,199.167.109.148,192.102.255.81,43.6564,43.6319,-79.386,-79.3716,22652,Fibrenoire Inc.,393755,CloudPBX,22652,Fibrenoire Inc.,393755,CloudPBX,Toronto,
