,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
0,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
1,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 70.36.53.42 is not in the database.,The address 70.36.53.42 is not in the database.,0.0,0.0
2,The address 96.55.36.91 is not in the database.,The address 96.55.36.91 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
3,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0
4,The address 68.68.117.64 is not in the database.,The address 68.68.117.64 is not in the database.,0.0,0.0,The address 192.102.255.83 is not in the database.,The address 192.102.255.83 is not in the database.,0.0,0.0
8,The address 204.101.100.67 is not in the database.,The address 204.101.100.67 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
9,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 75.157.187.164 is not in the database.,The address 75.157.187.164 is not in the database.,0.0,0.0
10,The address 75.155.189.78 is not in the database.,The address 75.155.189.78 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
11,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0
12,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
14,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0
17,The address 192.102.255.63 is not in the database.,The address 192.102.255.63 is not in the database.,0.0,0.0,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0
19,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
20,The address 199.182.221.34 is not in the database.,The address 199.182.221.34 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
22,The address 52.43.50.205 is not in the database.,The address 52.43.50.205 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
24,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0,The address 192.102.255.62 is not in the database.,The address 192.102.255.62 is not in the database.,0.0,0.0
26,The address 12.215.54.67 is not in the database.,The address 12.215.54.67 is not in the database.,0.0,0.0,The address 192.102.255.63 is not in the database.,The address 192.102.255.63 is not in the database.,0.0,0.0
29,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 184.68.20.6 is not in the database.,The address 184.68.20.6 is not in the database.,0.0,0.0
30,The address 75.155.189.78 is not in the database.,The address 75.155.189.78 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
31,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0
34,The address 68.68.119.101 is not in the database.,The address 68.68.119.101 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
36,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 68.68.119.101 is not in the database.,The address 68.68.119.101 is not in the database.,0.0,0.0
38,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0
39,The address 192.102.255.62 is not in the database.,The address 192.102.255.62 is not in the database.,0.0,0.0,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0
43,The address 208.89.130.22 is not in the database.,The address 208.89.130.22 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
44,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 162.213.157.228 is not in the database.,The address 162.213.157.228 is not in the database.,0.0,0.0
47,The address 208.68.17.37 is not in the database.,The address 208.68.17.37 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
48,The address 208.89.128.69 is not in the database.,The address 208.89.128.69 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
50,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
51,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 76.66.120.100 is not in the database.,The address 76.66.120.100 is not in the database.,0.0,0.0
55,The address 216.251.136.82 is not in the database.,The address 216.251.136.82 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
56,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.89.130.150 is not in the database.,The address 208.89.130.150 is not in the database.,0.0,0.0
57,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
60,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0,The address 108.172.71.208 is not in the database.,The address 108.172.71.208 is not in the database.,0.0,0.0
61,The address 208.89.130.22 is not in the database.,The address 208.89.130.22 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
65,The address 98.143.94.218 is not in the database.,The address 98.143.94.218 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
69,The address 75.155.191.162 is not in the database.,The address 75.155.191.162 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
70,The address 50.68.212.146 is not in the database.,The address 50.68.212.146 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
71,The address 98.143.82.203 is not in the database.,The address 98.143.82.203 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
72,The address 198.134.28.91 is not in the database.,The address 198.134.28.91 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
73,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 199.47.126.6 is not in the database.,The address 199.47.126.6 is not in the database.,0.0,0.0
74,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 204.101.100.67 is not in the database.,The address 204.101.100.67 is not in the database.,0.0,0.0
75,The address 208.89.130.20 is not in the database.,The address 208.89.130.20 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
76,The address 216.123.176.108 is not in the database.,The address 216.123.176.108 is not in the database.,0.0,0.0,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0
78,The address 108.172.71.208 is not in the database.,The address 108.172.71.208 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
80,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 108.63.14.134 is not in the database.,The address 108.63.14.134 is not in the database.,0.0,0.0
84,The address 75.155.191.162 is not in the database.,The address 75.155.191.162 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
87,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 208.68.17.37 is not in the database.,The address 208.68.17.37 is not in the database.,0.0,0.0
88,The address 64.253.150.187 is not in the database.,The address 64.253.150.187 is not in the database.,0.0,0.0,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0
90,The address 68.68.119.108 is not in the database.,The address 68.68.119.108 is not in the database.,0.0,0.0,The address 192.102.255.63 is not in the database.,The address 192.102.255.63 is not in the database.,0.0,0.0
94,The address 64.253.148.230 is not in the database.,The address 64.253.148.230 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
96,The address 98.143.94.218 is not in the database.,The address 98.143.94.218 is not in the database.,0.0,0.0,The address 192.102.254.82 is not in the database.,The address 192.102.254.82 is not in the database.,0.0,0.0
97,The address 192.102.255.82 is not in the database.,The address 192.102.255.82 is not in the database.,0.0,0.0,The address 199.47.126.6 is not in the database.,The address 199.47.126.6 is not in the database.,0.0,0.0
103,The address 192.102.254.83 is not in the database.,The address 192.102.254.83 is not in the database.,0.0,0.0,The address 70.36.53.42 is not in the database.,The address 70.36.53.42 is not in the database.,0.0,0.0
